##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
83.7998657	353.0847168	0	0
83.9998627	353.3730164	0	0
84.1998596	353.6624146	0	0
84.3998566	353.9528809	0	0
84.5998535	354.2444763	0	0
84.7998505	354.5371399	0	0
84.9998474	354.8309326	0	0
85.1998444	355.1257935	0	0
85.3998413	355.4217834	0	0
85.5998383	355.7188721	0	0
85.7998352	356.0170593	0	0
85.9998322	356.3163757	0	0
86.1998291	356.6167908	0	0
86.399826	356.918335	0	0
86.599823	357.2209778	0	0
86.7998199	357.5247498	0	0
86.9998169	357.8296509	0	0
87.1998138	358.1356812	0	0
87.3998108	358.4428406	0	0
87.5998077	358.7510986	0	0
87.7998047	359.0605164	0	0
87.9998016	359.3710632	0	0
88.1997986	359.6827393	0	0
88.3997955	359.9955444	0	0
88.5997925	360.3095093	0	0
88.7997894	360.6246033	0	0
88.9997864	360.9408264	0	0
89.1997833	361.2582397	0	0
89.3997803	361.5767517	0	0
89.5997772	361.8964539	0	0
89.7997742	362.2172852	0	0
89.9997711	362.5393066	0	0
90.1997681	362.8624573	0	0
90.399765	363.1867676	0	0
90.599762	363.5122375	0	0
90.7997589	363.8388672	0	0
90.9997559	364.166687	0	0
91.1997528	364.4956665	0	0
91.3997498	364.8258057	0	0
91.5997467	365.157135	0	0
91.7997437	365.489624	0	0
91.9997406	365.8233032	0	0
92.1997375	366.1581726	0	0
92.3997345	366.4942017	0	0
92.5997314	366.8314209	0	0
92.7997284	367.1698303	0	0
92.9997253	367.5094299	0	0
93.1997223	367.8502197	0	0
93.3997192	368.1921997	0	0
93.5997162	368.5353699	0	0
93.7997131	368.8797302	0	0
93.9997101	369.2253113	0	0
94.199707	369.5720825	0	0
94.399704	369.9200745	0	0
94.5997009	370.2692566	0	0
94.7996979	370.6196594	0	0
94.9996948	370.9712524	0	0
95.1996918	371.3240662	0	0
95.3996887	371.6781006	0	0
95.5996857	372.0333557	0	0
95.7996826	372.3898315	0	0
95.9996796	372.7475281	0	0
96.1996765	373.1064453	0	0
96.3996735	373.4665833	0	0
96.5996704	373.8279724	0	0
96.7996674	374.1905823	0	0
96.9996643	374.5544128	0	0
97.1996613	374.9194946	0	0
97.3996582	375.2857971	0	0
97.5996552	375.6533508	0	0
97.7996521	376.0221252	0	0
97.999649	376.3921814	0	0
98.199646	376.7634583	0	0
98.3996429	377.1359863	0	0
98.5996399	377.5097961	0	0
98.7996368	377.8848267	0	0
98.9996338	378.2611084	0	0
99.1996307	378.6386719	0	0
99.3996277	379.0174866	0	0
99.5996246	379.3975525	0	0
99.7996216	379.7789001	0	0
99.9996185	380.161499	0	0
100.1996155	380.5453796	0	0
100.3996124	380.9305115	0	0
100.5996094	381.3169556	0	0
100.7996063	381.7046509	0	0
100.9996033	382.0936279	0	0
101.1996002	382.4838867	0	0
101.3995972	382.8754272	0	0
101.5995941	383.2682495	0	0
101.7995911	383.6623535	0	0
101.999588	384.0577393	0	0
102.199585	384.4544373	0	0
102.3995819	384.8524475	0	0
102.5995789	385.251709	0	0
102.7995758	385.6523132	0	0
102.9995728	386.0541992	0	0
103.1995697	386.4573669	0	0
103.3995667	386.8618774	0	0
103.5995636	387.2676697	0	0
103.7995605	387.6747742	0	0
